tconst,startYear,genre,averageRating,numVotes
tt5139992,2016,Thriller,6.9,50
tt5140182,2016,Biography,6.6,762
tt5140224,2016,Drama,6.2,35
tt5140248,2016,Documentary,7.4,1038
tt5141494,2016,Comedy,6.5,276
tt5141862,2017,Documentary,6.6,92
tt5142216,2016,Comedy,6.0,39
tt5142750,2016,Documentary,7.9,600
tt5142898,2016,Action,5.0,70
tt5143016,2016,Documentary,6.8,35
tt5143226,2017,Horror,5.2,18040
tt5143270,2015,Thriller,3.2,82
tt5143694,2015,Biography,6.4,10
tt5143744,2016,Drama,7.4,102
tt5143810,2022,Drama,7.4,18
tt5143858,2015,Drama,4.9,21
tt5144174,2020,Mystery,6.8,39298
tt5144202,2015,Drama,7.8,9
tt5144374,2016,Romance,5.2,202
tt5144786,2015,Adventure,7.3,106
tt5145840,2016,Action,4.8,311
tt5146612,2018,Drama,4.8,220
tt5146750,2015,Drama,5.2,19
tt5147042,2016,Crime,6.8,1321
tt5147880,2014,Documentary,6.4,31
tt5148580,2005,Comedy,5.8,602
tt5149530,2015,Thriller,6.6,136
tt5149620,2020,Drama,6.2,69
tt5150228,2018,Comedy,3.2,136
tt5150716,2003,Documentary,5.2,16
tt5151200,2015,Documentary,6.6,7
tt5151378,2017,Adventure,6.1,20
tt5151594,2016,Horror,3.6,165
tt5151622,2015,Action,3.6,144
tt5151722,2016,Thriller,8.7,22
tt5152604,2014,History,6.5,8
tt5152652,2016,Romance,6.7,38
tt5152796,2017,Biography,8.1,33
tt5152888,2015,Documentary,8.9,7
tt5152918,2015,Documentary,5.4,14
tt5153158,2016,Music,5.5,248
tt5153260,2015,Drama,5.4,765
tt5153754,1995,Comedy,4.7,17
tt5153860,2016,Crime,4.3,1520
tt5153956,2023,Horror,4.9,8351
tt5154280,2017,Documentary,7.6,37
tt5154846,2017,Adventure,5.6,36
tt5154954,2014,Family,9.1,14
tt5155340,2016,Adventure,7.2,80
tt5155780,2017,Romance,6.2,39625
tt5156274,2017,Crime,6.4,3460
tt5156532,2017,Western,5.7,331
tt5156620,1997,Mystery,4.8,8
tt5156720,2015,Comedy,2.9,42
tt5156754,2015,Animation,4.1,68
tt5157052,2017,Horror,4.4,2586
tt5157420,2015,Fantasy,5.5,44
tt5157426,2020,Drama,6.6,532
tt5157456,2016,Drama,4.6,5321
tt5158168,2015,Drama,5.1,602
tt5158306,2017,Comedy,7.0,45
tt5158522,2016,Drama,6.4,2889
tt5132170,2015,Documentary,8.1,17
tt5132734,2016,Drama,6.8,59
tt5135434,2016,Documentary,7.3,467
tt5136090,2015,Drama,6.1,45
tt5144786,2015,Drama,7.3,106
tt5151378,2017,Comedy,6.1,20
tt5152604,2014,Documentary,6.5,8
tt5152652,2016,Drama,6.7,38
tt5153158,2016,Comedy,5.5,248
tt5153860,2016,Action,4.3,1520
tt5156620,1997,Action,4.8,8
tt5157420,2015,History,5.5,44
tt5159032,2000,Action,4.2,11
tt5159122,2015,Documentary,9.4,8
tt5159376,1998,Drama,5.6,17
tt5159412,2016,Horror,2.7,226
tt5160614,2018,Mystery,5.1,1131
tt5160928,2016,Thriller,6.3,5268
tt5161080,2016,Crime,6.2,129
tt5161088,2015,Documentary,7.5,11
tt5161204,2016,Sci-Fi,3.3,1626
tt5161370,2008,Documentary,7.5,24
tt5161376,2016,Horror,3.9,2413
tt5161658,2016,Animation,4.5,849
tt5161848,1995,Drama,6.0,8
tt5162432,1999,Romance,4.6,16
tt5163040,2019,History,6.5,53
tt5163920,2018,Documentary,8.7,12
tt5164184,2018,Mystery,5.8,15346
tt5164432,2018,Comedy,7.5,132103
tt5164436,2016,Drama,6.9,691
tt5164446,2017,Adventure,5.6,998
tt5164558,2014,Music,8.1,36
tt5164574,2016,Family,7.2,10
tt5165468,2015,Adult,5.6,432
tt5165620,2018,Thriller,2.2,386
tt5166292,2015,Documentary,7.3,10
tt5167122,2016,Horror,6.7,69
tt5167200,2020,Adventure,3.5,373
tt5167966,2017,Drama,6.8,1643
tt5167972,2020,Crime,2.1,255
tt5168112,2016,Comedy,4.2,642
tt5168238,2018,Adventure,6.0,643
tt5168344,2010,Drama,6.6,8
tt5169970,2015,History,8.7,17
tt5170292,2015,Documentary,7.1,19
tt5171096,2005,Drama,7.8,14
tt5171170,2015,Family,9.3,9
tt5171254,2016,Crime,3.6,18
tt5171442,2025,Comedy,8.1,21
tt5171598,2016,Fantasy,6.3,39
tt5172306,2015,Action,6.4,339
tt5172900,2015,Horror,6.8,159
tt5173000,2015,Documentary,7.2,162
tt5173008,2015,Fantasy,7.2,19
tt5173166,2016,Crime,5.8,3725
tt5173192,2016,Music,8.4,55
tt5173756,2022,History,5.1,28
tt5174196,2016,Drama,7.4,26
tt5174792,2014,Romance,5.6,226
tt5175168,2016,Thriller,6.8,96
tt5175274,2017,Drama,7.0,278
tt5175500,2015,Drama,6.0,13
tt5175532,2015,Comedy,9.2,24
tt5176442,2016,Crime,4.6,963
tt5176598,2015,Comedy,5.4,59
tt5176726,2016,Drama,6.3,20
tt5176794,2016,Music,6.8,61
tt5176832,2017,Fantasy,2.3,753
tt5177088,2018,Action,6.1,54765
tt5177914,2015,Drama,7.9,13
tt5177940,1999,Family,6.6,41
tt5178534,2015,Action,6.3,33
tt5178580,2015,Drama,6.0,85
tt5178660,2015,Comedy,5.3,414
tt5179252,2015,Drama,4.7,343
tt5179576,2016,Drama,6.0,1110
tt5179598,2018,Thriller,5.6,15731
tt5180118,2015,Horror,4.9,47
tt5180240,2016,Drama,6.6,582
tt5180488,2016,Crime,3.9,16
tt5180618,2016,Romance,5.4,275
tt5180794,2016,Action,5.1,147
tt5180856,2015,Comedy,6.5,560
tt5180888,2017,Drama,5.7,869
tt5180998,2015,Sport,7.3,368
tt5181352,2015,Biography,5.9,10
tt5181448,2015,Sport,7.7,15
tt5181502,2016,Romance,4.0,14
tt5181618,2019,Mystery,5.9,38
tt5181834,2018,Family,5.1,361
tt5183500,2017,Drama,5.1,1286
tt5183632,2024,Drama,7.1,355
tt5184272,2017,Documentary,6.9,75
tt5184592,2006,Action,6.2,57
tt5184608,2007,History,5.6,30
tt5184904,2018,Horror,6.1,46
tt5185892,2015,Documentary,7.1,48
tt5185994,2017,Comedy,6.4,19
tt5186060,2015,Documentary,4.2,10
tt5186236,2016,Biography,7.0,3498
tt5186608,2017,Drama,7.0,181
tt5186644,2016,Documentary,6.9,29
tt5187144,2015,Comedy,5.6,36
tt5187520,2000,Romance,6.3,28
tt5189334,2017,Thriller,5.3,29
tt5189772,2017,Drama,6.6,46
tt5189838,2016,Family,5.6,54
tt5189894,2017,Crime,6.0,7007
tt5159032,2000,Drama,4.2,11
tt5159412,2016,Thriller,2.7,226
tt5161080,2016,Thriller,6.2,129
tt5161376,2016,Comedy,3.9,2413
tt5163040,2019,Documentary,6.5,53
tt5164184,2018,Thriller,5.8,15346
tt5164432,2018,Drama,7.5,132103
tt5171598,2016,Action,6.3,39
tt5176442,2016,Drama,4.6,963
tt5180118,2015,Drama,4.9,47
tt5189838,2016,Drama,5.6,54
tt5189894,2017,Comedy,6.0,7007
tt5190578,2019,Sport,5.0,238
tt5190872,2016,Comedy,4.6,266
tt5190922,2016,Horror,4.5,75
tt5190946,2015,Comedy,9.0,12
tt5191164,2016,Thriller,6.8,14
tt5191308,2015,Action,4.2,127
tt5192998,2015,Romance,6.0,32
tt5193216,2017,Horror,5.4,30
tt5194044,2015,Drama,7.9,32
tt5194226,2016,Mystery,6.5,529
tt5194504,2017,Drama,5.9,1197
tt5195922,2004,Action,5.6,13
tt5196436,2015,Comedy,2.0,19
tt5196516,2016,Action,3.9,374
tt5196540,2015,Documentary,6.2,6
tt5197250,2015,Crime,7.6,22
tt5197544,2016,Sci-Fi,5.4,8075
tt5197742,2016,Drama,6.1,110
tt5198764,2017,Drama,6.2,58
tt5198844,2016,Drama,6.2,425
tt5198850,2016,Crime,3.9,327
tt5198884,2016,Thriller,5.0,181
tt5198890,2023,Mystery,5.9,18776
tt5199110,2015,Documentary,7.6,8
tt5199588,2015,Action,6.5,982
tt5199640,2015,Musical,6.4,13
tt5199668,2015,Thriller,6.3,53
tt5200814,2015,Drama,6.9,1941
tt5200962,2016,Romance,7.4,4107
tt5201142,2016,Thriller,4.9,178
tt5201882,2019,Mystery,3.3,369
tt5202654,2016,Drama,4.5,503
tt5202754,2006,Drama,8.0,10
tt5202876,2014,Drama,4.4,27
tt5202974,2017,Documentary,7.5,51
tt5203734,2015,Comedy,6.2,143
tt5203986,2016,Crime,6.4,38
tt5204956,2010,Drama,6.0,37
tt5204982,2015,Drama,7.3,33
tt5205108,2015,Thriller,6.0,16
tt5205210,2016,Drama,6.0,1964
tt5205768,2015,Documentary,7.4,11
tt5205816,2015,Drama,4.6,14
tt5205876,2015,Documentary,8.5,27
tt5206260,2020,Comedy,6.4,22930
tt5206478,2016,History,7.3,12
tt5206558,2016,Documentary,4.9,24
tt5206834,2015,Horror,5.2,28
tt5207004,2018,Sci-Fi,2.1,692
tt5207012,2001,Comedy,3.1,24
tt5207116,2015,Mystery,5.2,764
tt5207158,2018,Thriller,7.8,13038
tt5207204,2016,War,6.7,6430
tt5207262,2017,History,6.1,2114
tt5207320,2016,Horror,5.4,1056
tt5207840,2017,Fantasy,4.8,120
tt5207964,2015,Mystery,5.5,22
tt5208094,2017,History,7.2,6
tt5208216,2017,Mystery,6.2,11437
tt5208682,2017,Drama,7.4,13
tt5208950,2018,Action,5.0,6576
tt5209072,2015,Documentary,6.9,516
tt5209124,2019,Mystery,3.2,106
tt5209284,2015,Comedy,5.2,79
tt5209420,2016,Romance,4.7,654
tt5209478,2017,Drama,5.2,469
tt5210324,2015,Drama,7.4,844
tt5210346,2016,Documentary,6.3,21
tt5210376,2016,Documentary,7.0,1440
tt5211522,2019,Drama,8.2,6
tt5211742,2016,Romance,5.6,41
tt5212122,2016,Comedy,5.5,35
tt5212160,2016,Action,5.8,267
tt5212488,2018,Drama,3.8,146
tt5212542,2017,Drama,7.1,29
tt5212726,2016,Action,5.5,26
tt5212792,2016,Documentary,7.5,487
tt5213016,2016,Documentary,6.6,201
tt5213138,2022,Adventure,6.8,450
tt5213534,2016,Documentary,7.8,13682
tt5214110,2016,Comedy,8.5,20
tt5197250,2015,Action,7.6,22
tt5198850,2016,Drama,3.9,327
tt5198890,2023,Romance,5.9,18776
tt5207204,2016,Action,6.7,6430
tt5207262,2017,Drama,6.1,2114
